Team,Pos,Age,G,GS,MP,WS,WS/48,BPM,VORP,LEBRON,O-LEBRON,D-LEBRON,WAR,Season_End_Year,All_NBA_Target
NJN,SF,23.0,25.0,9.0,403.0,0.1,0.015,-2.6,-0.1,-0.92,-2.45,1.53,0.37,2011,0
CLE,PF,34.0,56.0,38.0,1842.0,2.6,0.067,-0.1,0.9,0.19,1.08,-0.89,3.08,2011,0
UTA,C,26.0,82.0,82.0,2940.0,7.8,0.128,0.6,1.9,0.07,0.66,-0.59,4.68,2011,0
2TM,SG,25.0,17.0,1.0,322.0,0.7,0.097,-1.7,0.0,0.03,-0.01,0.05,0.5,2011,0
SAS,SF,30.0,81.0,81.0,2459.0,5.9,0.115,0.3,1.4,-0.03,-0.06,0.03,3.74,2011,0
2TM,PF,29.0,42.0,9.0,601.0,0.6,0.045,-2.2,0.0,-0.57,-0.92,0.35,0.69,2011,0
MIL,PG,21.0,63.0,61.0,2169.0,3.9,0.086,1.6,2.0,1.1,0.52,0.58,4.95,2011,0
WAS,PF,23.0,63.0,11.0,1112.0,0.4,0.016,-5.3,-0.9,-2.42,-2.12,-0.3,-0.09,2011,0
TOR,PF,23.0,72.0,54.0,1853.0,5.6,0.146,0.3,1.1,2.2,1.15,1.05,5.6,2011,0
2TM,SF,23.0,38.0,25.0,822.0,0.6,0.036,-0.6,0.3,0.2,-0.62,0.82,1.38,2011,0
ATL,SG,29.0,72.0,72.0,2554.0,4.2,0.08,-0.3,1.1,0.51,1.66,-1.16,4.82,2011,0
MIN,SG,23.0,79.0,63.0,2069.0,1.3,0.03,-1.7,0.2,-1.15,-0.72,-0.43,1.59,2011,0
IND,SG,30.0,45.0,2.0,589.0,1.2,0.102,-1.2,0.1,-1.24,-0.78,-0.46,0.41,2011,0
MIA,SF,30.0,81.0,8.0,1549.0,4.7,0.145,1.0,1.2,0.07,0.91,-0.84,2.46,2011,0
IND,C,26.0,39.0,0.0,528.0,0.5,0.042,-4.5,-0.3,-1.51,-2.58,1.07,0.27,2011,0
LAC,C,28.0,32.0,15.0,838.0,0.8,0.047,-1.4,0.1,-0.37,-1.82,1.45,1.08,2011,0
DAL,PG,37.0,80.0,80.0,2653.0,6.4,0.116,2.8,3.3,2.45,1.12,1.33,8.46,2011,0
UTA,SF,29.0,64.0,62.0,1999.0,4.5,0.109,2.2,2.1,0.68,0.44,0.24,4.0,2011,0
TOR,SF,26.0,39.0,23.0,1032.0,-0.3,-0.012,-4.7,-0.7,-1.34,-0.57,-0.77,0.65,2011,0
CHI,SG,29.0,82.0,0.0,1649.0,5.1,0.149,1.1,1.3,-0.39,0.59,-0.99,2.1,2011,0
2TM,PF,27.0,76.0,26.0,2008.0,4.1,0.098,-1.9,0.1,-1.64,-0.18,-1.46,0.87,2011,0
2TM,PG,26.0,51.0,0.0,726.0,0.4,0.027,-4.0,-0.4,-2.91,-1.42,-1.49,-0.3,2011,0
DEN,PG,23.0,80.0,31.0,2103.0,6.7,0.153,2.1,2.2,0.5,2.28,-1.78,3.95,2011,0
HOU,SG,25.0,81.0,1.0,1723.0,2.7,0.076,-1.1,0.4,-0.91,0.35,-1.26,1.6,2011,0
GSW,PF,27.0,73.0,73.0,2634.0,6.0,0.11,-0.4,1.1,-1.94,-0.24,-1.7,0.62,2011,0
CHA,PG,25.0,73.0,0.0,1261.0,1.9,0.073,0.0,0.7,-0.79,-1.49,0.7,1.27,2011,0
NJN,C,22.0,82.0,82.0,2889.0,6.3,0.105,0.6,1.9,-0.42,0.66,-1.08,3.64,2011,0
PHO,C,22.0,67.0,56.0,991.0,1.5,0.074,-4.1,-0.5,-1.95,-2.23,0.28,0.22,2011,0
MIN,PF,22.0,73.0,73.0,2611.0,11.4,0.21,4.4,4.2,1.86,2.06,-0.2,7.3,2011,0
HOU,PG,24.0,75.0,71.0,2563.0,7.0,0.13,2.0,2.6,2.35,1.89,0.46,8.0,2011,0
MIL,SF,31.0,67.0,18.0,1401.0,3.4,0.115,-0.8,0.5,-1.51,-0.27,-1.23,0.73,2011,0
DAL,SF,32.0,80.0,27.0,2253.0,5.6,0.12,0.3,1.3,-0.6,-0.4,-0.2,2.55,2011,0
WAS,SF,26.0,52.0,1.0,542.0,0.8,0.071,-0.6,0.2,-0.35,0.5,-0.85,0.71,2011,0
DEN,PF,33.0,48.0,48.0,1233.0,2.7,0.104,0.9,0.9,0.86,-0.71,1.57,2.62,2011,0
HOU,SG,27.0,80.0,80.0,2603.0,9.5,0.175,3.4,3.5,1.12,2.69,-1.57,5.98,2011,0
POR,SG,24.0,82.0,69.0,2758.0,7.2,0.126,0.9,2.0,0.95,0.76,0.19,6.02,2011,0
DET,PF,27.0,57.0,14.0,930.0,0.5,0.024,-4.4,-0.6,-3.0,-2.41,-0.59,-0.43,2011,0
OKC,PG,23.0,82.0,0.0,1200.0,1.5,0.061,-1.8,0.1,0.98,0.87,0.11,2.64,2011,0
MEM,SG,23.0,71.0,17.0,1869.0,2.4,0.062,-0.6,0.7,-0.68,0.89,-1.57,2.02,2011,0
PHI,SG,23.0,74.0,64.0,2062.0,5.1,0.12,0.2,1.1,0.24,0.55,-0.31,3.51,2011,0
POR,PG,34.0,81.0,81.0,2650.0,7.0,0.127,1.6,2.4,1.83,1.54,0.3,7.36,2011,0
HOU,C,34.0,60.0,5.0,1015.0,3.0,0.142,2.8,1.2,0.41,0.11,0.31,1.85,2011,0
MIA,SG,30.0,41.0,2.0,838.0,1.6,0.09,-1.4,0.1,-1.3,-0.35,-0.95,0.56,2011,0
UTA,PF,25.0,76.0,76.0,2605.0,7.7,0.143,1.9,2.5,1.95,1.03,0.92,7.43,2011,0
POR,PG,22.0,64.0,0.0,783.0,0.7,0.044,-1.5,0.1,-2.42,-0.1,-2.32,-0.07,2011,0
2TM,C,33.0,75.0,37.0,1280.0,2.7,0.1,-2.8,-0.3,-0.18,-0.79,0.61,1.82,2011,0
DET,C,20.0,80.0,48.0,2222.0,6.6,0.143,0.4,1.4,0.05,0.87,-0.81,3.51,2011,0
2TM,SF,30.0,59.0,20.0,1042.0,1.1,0.05,-1.1,0.2,-0.67,-1.5,0.83,1.14,2011,0
NJN,SG,25.0,58.0,47.0,1856.0,3.0,0.078,-1.0,0.5,-2.04,-0.57,-1.47,0.31,2011,0
